Comparison|||The company had a tax credit of $1.4 million|||In the year-earlier quarter, the tax credit was $3.3 million
Expansion|||In Michigan, where the state Senate is expected to approve parental-consent legislation by the end of next week, Gov. Blanchard is the principal obstacle for anti-abortionists|||Susan Rogin, a consultant to abortion-rights activists in the state, takes comfort from the fact that the state's House abortion opponents "haven't been able to muster the votes to overturn a veto on abortion in 16 years
Expansion|||In Texas, abortion opponents want to pass parental-consent legislation along with a statewide ban on the use of public funds, personnel and facilities for abortion, and viability tests for fetuses 19 weeks and older|||The anti-abortionists are urging GOP Gov. Bill Clements to press the issues in a special session scheduled to run Nov. 14 to Dec. 13
Expansion|||on what reasonable measures that an overwhelming mainstream majority of Americans support|||These include bans on the use of abortion for birth control and sex selection, and the public funding of alternatives for abortion
Expansion|||it had received about $1 billion of senior debt financing from Chemical Bank and six other banks|||it was "highly confident" it could arrange the balance of about $509 million
Expansion|||although National Westminister showed strength on positive comments from brokerage firms about its long-term prospects|||NatWest, the most actively traded of the banks, finished at 300, up 1
Expansion|||Declining issues outnumbered advancers 505-455, with 172 unchanged|||The Tokyo Stock Price Index of all issues listed in the first section, which gained 41.76 Tuesday, was up 0.24 points, or 0.01%, at 2642.88
Expansion|||Institutions, meanwhile, stepped back to the sidelines as the direction of U.S. interest rates remained unclear|||The uncertainty was multiplied by the persistent strength of the dollar, traders said, and by the U.S. trade deficit, which widened by 31% in August from the previous month
Expansion|||Some laggard food issues attracted bargain-hunters, traders said|||Kirin Brewery was up 100 at 2,000, and Ajinomoto gained 70 to 2,840
Expansion|||Elsewhere, prices surged for a second day in Frankfurt, closed higher in Zurich, Stockholm and Amsterdam and were broadly lower in Milan, Paris and Brussels|||South African gold stocks ended marginally firmer
Expansion|||Results for the third quarter ending Oct. 31, are expected to be released the third week of November, according to Michael Dell, chairman and chief executive officer|||Mr. Dell said he doesn't expect a loss in either the third or fourth quarter, but said third-quarter earnings could be as low as four cents a share
Expansion|||The unnecessary and inappropriate use of the hospital, and not the actual need for a particular procedure, has been the main focus|||As a general rule, prior-review programs have not made case-by-case assessments of the comparative costs of alternative treatments or sites of care
Expansion|||There's pretty good evidence that utilization management has reduced inappropriate hospitalization," he said.|||It's like squeezing a balloon
Expansion|||You have a whole staff standing ready" to evaluate the appropriateness of recommended treatment|||that the hospitals he runs deal with more than 100 utilization management firms and that many of them have different procedures and requirements
Expansion|||The company said the improved performance from a year ago reflects higher commissions and revenue from marketmaking and trading for its own account|||Commission revenue was $522 million, up 49%
Expansion|||it wouldn't pay its fourth-quarter dividend, despite a 44% increase in third-quarter earnings, to $3.5 million, or 42 cents a share|||Net income included a gain of $708,000 on asset sales
Expansion|||A year earlier, Nationwide Health earned $2.4 million, or 29 cents a share|||Revenue rose 3% to $9 million from $8.8 million
Expansion|||One reason: efforts to protect the spotted owl led to restrictions on logging in the Pacific Northwest, constricting supply and forcing prices up|||Another reason: strikes, both at Georgia-Pacific and other lumber companies also cut supplies and raised prices
Expansion|||holders of the two issues can convert their stock into common shares through the close of business Dec. 1|||Each $1 cumulative share can be converted into 4.92 common shares
Expansion|||Each $1 cumulative share can be converted into 4.92 common shares|||the ratio on the $3 cumulative is eight common shares for each $3 cumulative preferred
Expansion|||MORE EXECUTIVES and their spouses are seeking counseling as work and family pressures mount|||Some employers initiate referrals, especially if work problems threaten a top manager's job
Expansion|||HERE'S ONE more explanation for why Japan is a tough industrial competitor|||Two of three Japanese employees submit suggestions to save money, increase efficiency and boost morale, while only 8% of American workers do
Expansion|||In Japan, small suggestions are encouraged|||Each new employee is expected to submit four daily in the first few months on the job
Expansion|||Co-author Richard Hollinger cites what happened at one family-owned company absorbed by a foreign giant|||Pilferage climbed dramatically as many angry employees "felt abandoned by the former owners
Expansion|||But top management should watch for other tell-tale signs of employee misdeeds, like expense-account fudging and phone misuse|||Security consultant Dennis Dalton of Ventura, Calif., thinks mergers often trigger longer lunch hours and increased absenteeism
Expansion|||But both see a common enemy|||About 66% of employees and 73% of investors think senior managers get too big a slice of the profit pie
Expansion|||U.S. buyers have already been lined up|||They include Enron Corp., Texas Eastern Corp., Pacific Interstate Transmission Co. and Tennessee Gas Pipeline Co
Expansion|||Esso, a unit of Imperial Oil Ltd. which is 71%-owned by Exxon Corp., will be allowed to export 5.1 trillion cubic feet to the U.S. in the 20-year period|||Shell, a subsidiary of Royal Dutch/Shell Group, will be allowed to export 0.9 trillion cubic feet
Expansion|||The CBOE opened for business on April 26, 1973, in what had been a Board of Trade lunchroom|||It listed just 16 options to buy a "pilot list" of stocks on the New York Stock Exchange
Expansion|||The CBOE opened for business on April 26, 1973, in what had been a Board of Trade lunchroom.|||Puts, or sell options, would not be added until 1977
Expansion|||The CBOE opened for business on April 26, 1973, in what had been a Board of Trade lunchroom.|||The 282 members had paid $10,000 apiece for seats
Expansion|||The new exchange drew instant recognition from an unwelcome quarter|||The government promptly sued the CBOE over its minimum-fee system
Expansion|||The Deerfield, Ill., medical products and services company posted net of $102 million, or 34 cents a share, compared with $85 million, or 28 cents a share, a year ago|||Sales totaled $1.81 billion up from $1.71 billion the previous year
Expansion|||In a filing with the Securities and Exchange Commission, Sony also said two more suits have been filed opposing the company's agreement to buy Columbia|||Sony added that a hearing has been set for Thursday in the Delaware Chancery Court in one of the suits
Expansion|||Bank of Tokyo Trust Co. also has notified it of a default|||HealthVest missed an interest payment to Bank of Tokyo on Oct. 1
Expansion|||They're forgetting we're all Texans|||The Lone Star is on the rise again
Expansion|||As the ad's tone implies, the Texas spirit is pretty xenophobic these days, and Lone Star isn't alone in trying to take advantage of that|||From Chevy trucks to Lipton iced tea to a host of battling banks, the state has been inundated with broadcast commercials and print advertising campaigns celebrating Texans and castigating outsiders
Expansion|||Lone Star's Bond Corp. parent, for instance, hails from Perth, Australia|||North Carolinians, New Yorkers, Californians, Chicagoans and Ohioans own Texas banks
Expansion|||Lone Star's Bond Corp. parent, for instance, hails from Perth, Australia.|||All kinds of landmark Texas real estate has been snapped up by out-of-staters
Expansion|||All kinds of landmark Texas real estate has been snapped up by out-of-staters|||Even the beloved Dallas Cowboys were bought by an Arkansas oil man
Expansion|||leaving Texans with a hunger to feel proud about themselves|||This plays right into the hands of the advertising agencies
Expansion|||Real Texans do not wear dock-siders -- ever|||Real Texans don't play paddleball, at least I hope not
Expansion|||And ad agencies insist that they do|||Stan Richards of Richards Group Inc., Dallas, tells of the Texan who saw the agency's tear-jerking commercial for First Gibraltar Bank F.S.B. -- complete with the state's anthem -- and promptly invested $100,000 in the thrift's CDs
Expansion|||The ad campaigns usually follow one of three tracks -- stressing the company's `Texasness, ' pointing out the competition's lack thereof, or trying to be more Texan than Texans|||Ford trucks may outsell Chevy trucks in places like "Connecticut and Long Island," sniffs a commercial for Chevrolet, a division of General Motors Corp
Expansion|||The most-strident anti-outsider sentiment among bankers comes from the Independent Bankers Association of Texas, although it's hard to tell from previews of the $5 million "The I's of Texas" TV campaign|||Commercials will highlight heart-rending scenes of Texas and chest-swelling, ain't-it-great-to-be-a-Texan music
Expansion|||Commercials will highlight heart-rending scenes of Texas and chest-swelling, ain't-it-great-to-be-a-Texan music|||Supporting banks will sign a "Texas Declaration of Independents
Expansion|||But in introductory material for the campaign, the trade group urges members to "arm" for a "revolution" against big, out-of-state bank-holding companies|||A video sent to association members, featuring shots of the Alamo, cowboys, fajitas and a statue of Sam Houston, doesn't mince words
Expansion|||A video sent to association members doesn't mince words|||Texans can sniff a phony a mile away," the narrator warns outsiders
Expansion|||The district, built on landfill, suffered heavy quake damage, including collapsed buildings|||Yesterday, the city demolished two dwellings in the district because of severe structural damage and said as many as 19 of the district's 350 dwellings might have to be razed
Expansion|||Brokers agreed with the two-tier price theory|||My gut feeling is that the Marina properties will be affected," said Grace Perkins, senior vice president at Grubb & Ellis Residential Brokerage Inc
Expansion|||the quake will prod companies in certain industries, like semiconductors, computers and aerospace, to consider moving operations that involve particularly sensitive machinery to locations outside California|||Because of the quake threat, "some firms have evaluated what the cost is to shore up their buildings and compared it with the cost of building it elswehere
Expansion|||One Southern California aerospace firm, for example, two months ago asked Location Management to compare the costs of reinforcing its current building against earthquakes with the cost of building a new structure elsewhere|||A new dwelling would cost $21 million, Location Management found, compared with $22 million to make the present building earthquake-proof
Expansion|||sales and earnings for the third quarter and nine months were at record levels|||Sales for the third quarter increased 6.5% to $1.51 billion from $1.42 billion
Expansion|||Pfizer posted its largest gains in healthcare sales, up 3%, and consumer products, up 23%|||Sales by the specialty chemicals and materials science segments were flat, and sales by the agriculture segment declined 5%
Expansion|||In the health-care segment, pharmaceutical sales increased 4% and sales of hospital products increased 1%|||During the quarter, Pfizer received federal approval of Procardia XL, a calcium channel blocker approved for both angina and hypertension, and Monorail Piccolino, used to open obstructed coronary arteries
Expansion|||preliminary reports indicate the company wasn't materially affected by the Tuesday earthquake|||All but eight of the 850 branches, which had some structural damage, reopened yesterday for business
Expansion|||For the first time in nearly two years, BankAmerica results failed to improve in consecutive quarters|||Third-quarter profit was 16% below the $304 million, or $1.50 a share, earned in the 1989 second quarter
Expansion|||Moreover, BankAmerica continued to build its reserve against troubled foreign loans by boosting its loan-loss provision to $170 million|||The provision rate was far above BankAmerica's actual net credit losses of $24 million in the third quarter
Expansion|||By any measure, third-quarter earnings were still robust, equivalent to a 0.92% return on assets even excluding tax credits|||By that key measure of operating efficiency, BankAmerica turned in a better performance than its well-regarded Los Angeles-based competitor, Security Pacific Corp., which posted a 0.89% return in the third quarter
Expansion|||They {BankAmerica} continue to show good performance|||In composite trading yesterday on the New York Stock Exchange, BankAmerica common stock edged up 12.5 cents to close at $32 a share
Expansion|||Shareholder equity improved to 4.68% from 4.23% in the previous quarter|||The 4.52% net interest margin was still markedly higher than the 3.91% ratio a year earlier, and is among the best in the industry
Expansion|||After last Friday's stock-market plunge, investment professionals cautioned people to resist the urge to call their brokers and sell stocks|||Not selling into a panic turned out to be very good advice
Expansion|||The market is sending nervous signals," says Peter J. Canelo, chief market strategist for Bear, Stearns & Co., and it's "unwise" to be overcommitted to stocks|||Alan Weston, president of Weston Capital Management, a Los Angeles money-management firm, adds that in periods of uncertainty like today, "it's a good time to cut out the dead branches of your portfolio
Expansion|||Not everybody agrees that it's time to trim|||We aren't inclined to prune stock portfolios now," says Steven G. Einhorn, chairman of the investment policy committee of Goldman, Sachs & Co
Expansion|||We aren't inclined to prune stock portfolios now|||Investors should stay with their stocks
Expansion|||GET RID OF THE DOGS|||Sell stocks that aren't doing well now, and that don't have good earnings prospects
Expansion|||Most people do just the opposite|||They sell their winners and keep their losers
Expansion|||WATCH FOR EARNINGS DISAPPOINTMENTS|||A company doesn't have to post a loss to be a candidate for sale
Expansion|||A company doesn't have to post a loss to be a candidate for sale|||If earnings don't live up to analysts' expectations that's enough to dump the stock
Expansion|||John Markese, director of research for the American Association of Individual Investors, raises a cautionary note|||Substituting a rule of thumb for your own judgment" can be a mistake
Expansion|||Mr. Canelo of Bear Stearns agrees|||If we do have an economic slowdown companies with high debt ratios will be dumped en masse
Expansion|||UAL Corp. 's difficulty in obtaining bank financing for its leveraged buy-out and its resulting price plunge is a tip-off to what's going to happen to "takeover stocks|||Takeover activity will slow down as more and more banks tighten their lending requirements
Expansion|||Takeover activity will slow down as more and more banks tighten their lending requirements|||There'll be fewer and fewer deals
Expansion|||COMPARE P/E RATIOS WITH PROSPECTS|||that investors compare price/earnings ratios (the price of a share of stock divided by a company's per-share earnings for a 12-month period) with projected growth rates
Expansion|||that investors shouldn't slavishly follow any specific price/earnings sell trigger|||If you say sell anytime a company's price/earnings ratio exceeds 15, that knocks out all your growth stocks
Expansion|||EXAMINE WHAT HAS CHANGED|||investors should consider selling if there has been a fundamental change in a company since they bought its stock
Expansion|||investors should consider selling if there has been a fundamental change in a company since they bought its stock|||Say you purchased a stock because of a new product that was in the works
Expansion|||Pencil pushers chew and put the plastic models behind their ears just like traditional pencils made of glued strips of California incense cedar filled with ceramic lead|||It takes five steps to make standard pencils, just one for the plastic type
Expansion|||that produced about 2.3 billion pencils last year, according to the Pencil Makers Association|||It's a trade secret how many were plastic
Expansion|||which offers four types of loans to people 62 years of age or older to help them maintain their home or obtain housing|||The loans can be for accessory apartments, for cottages built in a relative's yard, for home-sharing or for sale-lease-back transactions
Expansion|||Fannie Mae makes a secondary market in home loans|||It buys loans from lenders, packages some into securities for sale to investors and holds the remainder in a portfolio
Expansion|||that unless the sanctions are halted pending an appeal, the broker and his firm "will be irreparably injured and their business will be totally and permanently destroyed|||Already the firm has paid $211,666 of the fine and it will have to liquidate additional assets in order to pay the rest
Expansion|||that he had "an amicable parting" with Capital Holding and that he has "a number of ventures in the financial-services area" under consideration|||that his resignation was a mutual decision with Capital Holding management, but that he wasn't actually asked to resign
Expansion|||Mr. Agnos complained that he was "ticked off" that Vice President Dan Quayle, who toured the earthquake site Wednesday, didn't schedule a private meeting with him|||The mayor said the Quayle visit was "a publicity stunt
Expansion|||Marlin Fitzwater, White House press secretary, also asserted that Mr. Agnos had failed to return telephone calls from John Sununu, White House chief of staff|||We regret very much that the mayor of San Francisco has decided not to cooperate with us on this matter in making sure that there is adequate federal support for the disaster in his city," Mr. Fitzwater said
Expansion|||So IBM will be announcing more than 50 products that will be aimed at letting even the dumbest machine tool talk to the smartest mainframe, or anything in between|||In an unusual display of openness, IBM also will be helping customers tie together operations that include lots of equipment made by IBM's competitors
Expansion|||that "a lot of this is intentions|||We'll have to wait and see" how the plan develops
Expansion|||The announcements also should help IBM go on the offensive against Digital Equipment Corp. on the plant floor|||While IBM has traditionally dominated the market for computers on the business side of manufacturing operations and has done well in the market for design tools, Digital has dominated computerized manufacturing
Expansion|||the recent increase in orders "puts us well on the way to our goal of $1.6 billion in bookings for the year|||I expect to see the earnings momentum we experienced this quarter continue for the rest of the year
Expansion|||Separately, Century Bank, Phoenix, Ariz., was closed by Arizona banking officials|||The Federal Deposit Insurance Corp. approved the assumption of Century's deposits and fully secured liabilities by a newly chartered subsidiary of Valley Capital Corp., Las Vegas
Expansion|||Volume on the first section was estimated at 800 million shares, compared with 841 million Wednesday|||Winners outnumbered losers 645-293, with 186 issues unchanged
Expansion|||encouraged by the market's firmness|||Sentiment was helped by the small gain made by New York stocks Wednesday despite anxiety over possible effects of the major earthquake that struck northern California Tuesday
Expansion|||Pharmaceuticals made across-the-board advances|||Fujisawa Pharmaceutical gained 130 to 1,930 yen ($13.64) a share, Mochida Pharmaceutical was up 150 at 4,170, and Eisai advanced 60 to 2,360
Expansion|||Housing issues were boosted by a report that Daiwa House expects to post 43% higher earnings for its latest fiscal year|||Daiwa House advanced 100 to 2,610, Misawa Homes was up 60 at 2,940, and Sekisui House gained 100 to 2,490
Expansion|||Steel shares fell back after advancing for three days|||Kawasaki Steel was down 11 at 788, Kobe Steel lost 5 to 723, and Nippon Steel slipped 6 to 729
Expansion|||Volume continued to ease from the active dealings at the start of the week|||Turnover was 382.9 million shares, compared with 449.3 million Wednesday
Expansion|||B.A.T Industries surged in afternoon dealings|||B.A.T closed at 783, up 27
Expansion|||including about four million shares traded in the afternoon after the shareholders' meeting|||it purchased 2.5 million shares at 785
Expansion|||In other European markets, shares closed sharply higher in Stockholm, Frankfurt, Zurich and Paris and higher in Milan, Amsterdam and Brussels|||South African gold stocks closed firmer
Expansion|||Both Renault and DAF will have world-wide marketing rights for the new range of vans and light trucks|||Under a separate arrangement, British Aerospace PLC's Rover Group PLC subsidiary will also be able to offer the vehicles through its dealers in the U.K., and Renault's truck-building subsidiary Renault Vehicles Industriels will have similar rights in France
Expansion|||it completed the sale of 2.85 million shares of common priced at $10 a share in an initial public offering|||that it is selling two million shares and that the rest are being sold by certain stockholders
Expansion|||it expects to begin operations in October 1990|||it may install additional processing units at the refinery to produce higher octane gasolines and other products
Expansion|||First, its position in the government is anomalous|||It has an unusual kind of independence from elected officials and still has authority over one of the most powerful of government's instruments -- the control of the money supply
Expansion|||Second, the responsibilities of the Federal Reserve as guardian of the currency sometimes lead it to take measures that are unpopular|||As former Fed Chairman William McChesney Martin used to say, they would have to take the punch bowl away just as the party is getting interesting
Expansion|||This leads to proposals for "reform" of the Fed|||These proposals include changing the term of the chairman, shortening the terms of the members, eliminating the presidents of the Federal Reserve Banks from the decision-making process, putting the Secretary of the Treasury on the Federal Reserve Board, having the Fed audited by an arm of Congress (the General Accounting Office), putting the Fed's expenditures in the budget, and requiring prompt publication of the Fed's minutes
Expansion|||They would not solve the problem|||they would make it worse
Expansion|||The price level in the U.S. is now about 4 1/4 times as high as it was 30 years ago|||On average, something that cost $100 30 years ago now costs $425
Expansion|||The enormous inflation over the past 30 years was largely due to monetary policy|||At least, it would not have happened without the support of monetary policy that provided for a 10-fold increase in the money supply during the same period
Expansion|||The Fed's problem is not that it is too independent, or too unpolitical|||The Fed is responsive to, and cannot help being responsive to, the more overtly political part of the government
Expansion|||Critics of the present arrangement are correct to say that it is undemocratic|||What is undemocratic is the unwillingness of the more political parts of the government to take the responsibility for deciding the basic question of monetary policy
Expansion|||The greatest contribution Congress could make at this time would be to declare that stabilizing the price level is the primary responsibility of the Federal Reserve System|||Legislation to this effect has been introduced in Congress in this session by Rep. Stephen Neal (D., N.C.)
Expansion|||consolidated net profit after payments to minority interests rose to 749 million francs (US$119.2 million) from 575 million francs in the first half of 1988|||Revenue climbed 13% to 45.4 billion francs from 40.1 billion
Expansion|||On Capitol Hill, though, there doesn't seem to be sufficient sentiment to pair capital gains and the deficit-reduction bill|||I don't see how we have the votes" to place a capital-gains tax cut there
Expansion|||Meanwhile, President Bush stepped up his personal lobbying for the capital-gains tax cut|||he plans to hold a series of private White House meetings, mostly with Senate Democrats, to try to persuade lawmakers to fall in line behind the tax cut
Expansion|||third-quarter net income fell 5.9% to $9.5 million, or 46 cents a share, from $10.1 million, or 49 cents a share, in the year-ago period|||Sales rose 2.9% to $329.2 million from $320 million
Expansion|||it expects to benefit from the expertise that Motorola and other companies can bring to bear on the difficult problems involved in semiconductor manufacturing|||IBM already participates in one industrywide effort to improve semiconductor-manufacturing techniques
Expansion|||because semiconductor manufacturing has become so expensive|||A state-of-the-art plant cost $40 million in the mid-1970s but costs $500 million today
Expansion|||X-rays have problems, too|||They can make the masks brittle and can pass through material they're not supposed to
Expansion|||The HyperCard program allows users to design applications for Macintosh computers without having to be hardcore programmers and is distributed with every Macintosh sold|||It's one of the most popular computer programs of all time
Expansion|||In a related matter, Peter Black, president of consumer brand Minwax, was named group vice president for the household products operating group|||Kenneth M. Evans, president of Thompson & Formby brand, was named group vice president of the do-it-yourself operating group
Expansion|||Revenue rose 23% to $100 million from $81.6 million|||Net product sales accounted for $76 million, up from $57.5 million a year earlier
Expansion|||Expenses are flat|||There's contract revenue from {limited research and development} partnerships
Expansion|||Genentech faces competition in the cardiac-drug market from SmithKline Beecham PLC's heart drug Eminase, expected to receive market approval shortly.|||The company's stock is trading at 40 times next year's numbers, and that's too much
Expansion|||Meanwhile, within the next few weeks, the limited partners in Ivan F. Boesky & Co. L.P. are expected to reach a partial settlement with Drexel Burnham Lambert Inc. regarding the distribution of the $330 million in partnership assets|||Under the terms of the settlement, the limited partners would drop their civil suits against Drexel, now pending in federal court in New York
Expansion|||Attorneys involved in the talks said that the parties were closer to accord than they were a year ago|||One individual said the shareholders' accord was "well worked out
Expansion|||The plaintiffs are investors who bought and sold securities in which Mr. Boesky and his partnerships were dealing|||Some claim they suffered losses because they sold while he was buying and others because they bought while he was selling
Expansion|||He turned himself in to authorities in New York earlier this year|||He maintains that the information from the FBI will help him get his 1968 conviction vacated and his bail-jumping indictment dismissed
Expansion|||that the information from the FBI will help him get his 1968 conviction vacated and his bail-jumping indictment dismissed|||he was framed by the FBI and New York police as part of a campaign to destroy the black liberation movement of the 1960s
Expansion|||the makeup of the task force was unusually diverse|||It included lawyers from civil rights and consumer groups, plaintiffs' lawyers and defense attorneys, corporate counsel and law professors
Expansion|||Gerald E. Wilson, corporate secretary and legal counsel, said the company wouldn't disclose further details|||He declined to name the shareholder, the plaintiff's lawyer or the court where the lawsuit was filed
Expansion|||That sign is wrong|||It should read, "Have You Anything Left
Expansion|||Both the pilots and machinists have made it clear that they intend to block any transaction they don't like|||The pilots will be involved in any transaction that takes place around here," pilot union chairman Frederick C. Dubinsky declared yesterday
Expansion|||his union would like majority ownership for employees|||At the very least, the pilots want some form of control over the airline, perhaps through super-majority voting rights
Expansion|||Still, in recent days, machinists' union leaders have shown some new flexibility|||We may be able to reach a tradeoff where we can accommodate {the pilot union's} concerns and ours
Expansion|||the dynamics of this situation are that something's got to happen|||The board and UAL's management can't go back" to business as usual
Expansion|||steel profits were close to a cyclical peak|||Though imports were troublesome, they weren't running away with the market
Expansion|||Though imports were troublesome, they weren't running away with the market, and American companies had high hopes that steel import quotas would be extended for another five years|||Perhaps most important, Carl Icahn was subdued
Expansion|||Perhaps most important, Carl Icahn, who had once threatened a hostile takeover bid, was subdued|||He and Mr. Roderick were even dining out together
Expansion|||whose fortunes have changed abruptly|||Mr. Icahn, the company's deep-pocketed, tenacious adversary, recently disclosed that he had raised his USX stake to 13.1%, and he again threatened a takeover
Expansion|||In addition, USX's giant steel segment is facing softening demand and slipping prices as well as increasing competition from foreign steelmakers and low-cost minimills demand and slipping|||The import quotas got only a 2 1/2-year extension
Expansion|||without being pushed into unwelcome moves|||Mr. Corry might have to dismember the company more than he wants to
Expansion|||In 1986, Mr. Roderick adroitly dodged Mr. Icahn's first bullet after the takeover specialist had built up an 11.4% stake|||Mr. Roderick did so by having USX redeem a series of guaranteed notes, a move that, in effect, raised the cost of a $7.19 billion Icahn bid by about $3 billion
Expansion|||and even strike up an unlikely friendship with the interloper|||Over dinners at New York's Sky Club and Links Club restaurants, the steel executive and the big investor talked steel, international trade and thoroughbred horses
Expansion|||But the fiercely competitive Mr. Corry quickly showed he's no pushover|||He huddled with directors at a special meeting two weeks ago and tried to block his opponent
Expansion|||Now, it's Mr. Icahn's move|||Will he try to gain a seat on or control of the board and force a radical split of USX into separate oil and steel companies
Expansion|||Will he try to gain a seat on or control of the board and force a radical split of USX into separate oil and steel companies|||Given the weakness of the junk-bond market, can he finance a buy-out
Expansion|||it doesn't end the takeover threat|||I know it's not over," a sober-faced Mr. Corry acknowledged
Expansion|||In fact, it's barely begun for Mr. Corry, who faces tough decisions before he has had a chance to get settled into his new job|||He's in a vulnerable position because he hasn't established much credibility on his own
Expansion|||The 57-year-old tax attorney never even aspired to the job of chief executive|||An undistinguished college student who dabbled in zoology until he concluded that he couldn't stand cutting up frogs, Mr. Corry wanted to work for a big company "that could do big things
Expansion|||wearing a hat to work because everyone else did|||I was never a rebel
Expansion|||I was never a rebel|||I don't think most of the people that have been around me would ever say they've seen me pound the table or get angry
Expansion|||Yet, the unassuming Mr. Corry helped chart USX's transition from Big Steel to Big Oil|||He served as Mr. Roderick's front man in tense negotiations for the 1982 purchase of Marathon Oil for $5.9 billion
Expansion|||Nevertheless, Mr. Corry, once named chief executive, didn't waste any time distancing himself from his former boss|||Soon after taking over last June, Mr. Corry rescinded a pay cut imposed on clerical workers, a move that Mr. Roderick hadn't made in spite of improved earnings
Expansion|||While Mr. Roderick was reared in the shadows of Pittsburgh's smoking mills, Mr. Corry grew up in Cincinnati, a city nicknamed "Porkapolis" and more accustomed to pork chops than pig iron|||He has never met Lynn Williams, the president of the United Steelworkers union
Expansion|||Having two major products would lessen the company's vulnerability to one market's down cycle and help smooth out the flow of cash and earnings|||We're a two-product company and, boy, if you can't figure out the value of those two parts, you are so damn dumb that you don't belong on Wall Street
Expansion|||Moreover, the opportunity to sell steel at a price acceptable to USX may be gone, for now|||The time has passed for us to spin off steel," either in a public offering or to a buyer, one executive contends
Expansion|||The time has passed for us to spin off steel," either in a public offering or to a buyer|||About the only way that USX now can get out of steel is to dish it out, piece by piece, in separate joint ventures
Expansion|||However, even USX executives who work closely with him aren't sure about his long-term goals|||I don't think he has a clear sense of where he wants the company to go," one says
Expansion|||When negotiating, Mr. Corry played his cards close to the vest|||how his boss would routinely ask a subordinate to research an entire industry to target acquisition candidates. "What he really wanted to know was about a particular company, but you didn't know that.
Expansion|||how his boss would routinely ask a subordinate to research an entire industry to target acquisition candidates|||What he really wanted to know was about a particular company, but you didn't know that
Expansion|||It's part of the capitalistic market system that equity can be bought and equity is bought|||USX was formed 88 years ago, "by in effect buying out a bunch of other companies
Expansion|||USX was formed 88 years ago, "by in effect buying out a bunch of other companies|||People got rich through takeovers in those days, as they do today
Expansion|||The new "baskets" of stocks will allow big investors to buy or sell all 500 S&P index stocks in a single trade|||that the product, which the SEC temporarily approved yesterday, will help ease rather than worsen any volatility in the stock market
Expansion|||Financial markets quieted, with stock prices edging lower, bonds inching up and the dollar almost unchanged|||The Dow Jones industrials closed off 5.94 points, at 2653.28
Expansion|||profit slid 22% in the third quarter|||net fell 3.1%
Expansion|||Stocks: Volume 155,650,000 shares|||Dow Jones industrials 2653.28, off 5.94; transportation 1199.32, off 11.38; utilities 216.49, up 1.45
Expansion|||Both the Big Board's Exchange Stock Portfolio and the Chicago exchange's Market Basket are designed for institutional investors|||The Big Board lists its targets as pension plans, mutual fund managers and index-arbitrage traders
Expansion|||At the same time, only four securities firms have signed up with the Big Board to buy and sell ESPs as market makers, an unenthusiastic response|||The market makers so far are CS First Boston Group's First Boston Corp. unit, Morgan Stanley & Co., PaineWebber Group Inc. and Salomon Inc. 's Salomon Brothers Inc. unit
Expansion|||major securities firms are reluctant to become market makers because they fear the baskets may attract only limited trading|||only 25 contracts a day may trade at first, equivalent to a day's action at a small, regional exchange
Expansion|||Mr. Ehrlich was succeeded as chairman by Gerd Krick, a director of Fresenius, a West German pharmaceutical concern|||Ben Lipps, president of Fresenius USA, was named president, chief executive and chief operating officer
Expansion|||Fresenius owns about 42% of Delmed's fully diluted common stock|||The two companies have been discussing a transaction under which Fresenius would buy Delmed stock for cash to bring its beneficial ownership to between 70% and 80% of Delmed's fully diluted common stock
Expansion|||net was $7.4 million, or 22 cents a share, down from $32.3 million, or 86 cents a share, a year ago|||Revenue totaled $1.01 billion, a 43% increase from $704.4 million, reflecting the company's acquisition of Emery earlier this year
Expansion|||The New York-based company reported a third-quarter net loss of $5.1 million, or 10 cents a share, compared with a year-earlier net loss of $6.2 million, or 12 cents a share|||Operating revenue surged 54% in the latest period to $42.9 million from $27.7 million
Expansion|||This is the first of many rumors we expect to hear during the sale's process|||We won't comment on them
Expansion|||Bloomingdale's is a 17-store chain acquired last year by Campeau in its $6.6 billion acquisition of Federated|||Bloomingdale's does an estimated $1.2 billion in annual sales
Expansion|||The suit, filed in U.S. District Court in Manhattan, seeks class-action status|||The suit accuses the retailer and several of its officers of making false and misleading statements about the company's business affairs
Expansion|||The suit accuses the retailer and several of its officers of making false and misleading statements about the company's business affairs|||The suit says the company failed to disclose material adverse information about its financial condition
Expansion|||third-quarter net income rose a lower-than-anticipated 5.2% to $238.3 million, or 83 cents a share, from $226.5 million, or 78 cents|||Third-period sales were $2.49 billion, up from last year's $2.34 billion
Expansion|||The projection sent Anheuser shares plunging $4.375 in New York Stock Exchange composite trading yesterday|||The stock closed at $38.50 on heavy volume of about 3.5 million shares
Expansion|||it will take "appropriate competitive pricing actions to support our long-term market share growth strategy" for the premium brands|||it continues to hold to its earlier-announced goal of a 50% U.S. market share by the mid-1990s
Expansion|||Beneath the tepid news-release jargon lies a powerful threat from the brewing giant|||Anheuser is the biggest guy in the bar, and he just decided to join in the barroom brawl
Expansion|||But Smith Barney's Mr. Doyle called the market's reaction "justified|||While the third-quarter earnings were a "moderate disappointment," he said, "the real bad news is the intensity of price competition" in the premium-beer sector
Expansion|||According to Mr. Steinman, the newsletter publisher, Anheuser's market share is nearly twice that of its nearest competitor, Miller Brewing, which had a 21.2% stake last year|||It's followed by Stroh Brewery Co
